epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1845.45,1.61351,0.7639,0.00373,0.87825,0.79693,0.86481,0.51632,1.56602,0.6845,0.00474,0.00121591,0.00121591,0.00121591
43,1889.19,1.59285,0.75725,0.0037,0.86521,0.79541,0.86238,0.51125,1.58396,0.70702,0.00481,0.00120491,0.00120491,0.00120491
44,1933.26,1.6201,0.76287,0.00371,0.86521,0.78514,0.85381,0.49953,1.59013,0.71812,0.00477,0.00119391,0.00119391,0.00119391
45,1977.07,1.56669,0.7478,0.0037,0.87186,0.79694,0.86234,0.51866,1.57796,0.69583,0.00469,0.0011829,0.0011829,0.0011829
46,2020.36,1.58598,0.73798,0.00351,0.86939,0.78859,0.86093,0.50927,1.58114,0.69912,0.00476,0.0011719,0.0011719,0.0011719
47,2063.96,1.59911,0.73502,0.00359,0.88081,0.77427,0.85655,0.50446,1.59445,0.68916,0.00481,0.0011609,0.0011609,0.0011609
48,2107.43,1.62116,0.76368,0.00368,0.87852,0.79478,0.8644,0.52199,1.56858,0.6688,0.0046,0.0011499,0.0011499,0.0011499
49,2150.35,1.57661,0.73991,0.00362,0.88386,0.8037,0.8726,0.52234,1.576,0.65361,0.00473,0.00113889,0.00113889,0.00113889
50,2193.52,1.59197,0.7392,0.00354,0.8788,0.79358,0.86476,0.5202,1.58229,0.66819,0.00472,0.00112789,0.00112789,0.00112789
51,2236.46,1.59937,0.73652,0.0037,0.87049,0.79991,0.86479,0.51999,1.55243,0.65668,0.00456,0.00111689,0.00111689,0.00111689
52,2278.99,1.58665,0.73586,0.00364,0.86655,0.80577,0.87192,0.52671,1.55135,0.67425,0.00463,0.00110589,0.00110589,0.00110589
53,2321.85,1.57137,0.73754,0.00351,0.85796,0.81237,0.87279,0.52412,1.53928,0.66231,0.00455,0.00109489,0.00109489,0.00109489
54,2364.29,1.55869,0.72424,0.0034,0.8798,0.81007,0.87177,0.52992,1.53372,0.64662,0.00452,0.00108388,0.00108388,0.00108388
55,2406.92,1.54405,0.71214,0.00342,0.87883,0.8028,0.87549,0.53133,1.54247,0.66407,0.00452,0.00107288,0.00107288,0.00107288
56,2449.52,1.55061,0.73644,0.00347,0.88275,0.79739,0.86949,0.5258,1.54436,0.66346,0.00453,0.00106188,0.00106188,0.00106188
57,2492.91,1.51954,0.69395,0.00335,0.87872,0.80083,0.87154,0.53573,1.53727,0.66501,0.00459,0.00105088,0.00105088,0.00105088
58,2535.4,1.54506,0.71657,0.00353,0.87726,0.81495,0.87362,0.52726,1.53807,0.64951,0.00466,0.00103987,0.00103987,0.00103987
59,2578.78,1.52359,0.69811,0.00335,0.87774,0.80641,0.87068,0.53211,1.5357,0.66365,0.00459,0.00102887,0.00102887,0.00102887
60,2621.7,1.54401,0.71042,0.00347,0.87915,0.80339,0.86919,0.53497,1.52273,0.6475,0.00453,0.00101787,0.00101787,0.00101787
61,2664.27,1.53788,0.71584,0.00351,0.87144,0.80522,0.87377,0.52614,1.55339,0.66814,0.00455,0.00100687,0.00100687,0.00100687
62,2707.37,1.54818,0.70822,0.00346,0.89153,0.80358,0.87102,0.53671,1.53173,0.65772,0.00455,0.000995866,0.000995866,0.000995866
63,2749.98,1.51834,0.69633,0.00349,0.88124,0.81348,0.87707,0.53358,1.5247,0.64918,0.00452,0.000984864,0.000984864,0.000984864
64,2792.39,1.51619,0.67241,0.00336,0.89188,0.80327,0.88238,0.53445,1.53242,0.64084,0.00445,0.000973861,0.000973861,0.000973861
65,2835.49,1.53925,0.69791,0.00345,0.88036,0.817,0.87916,0.53596,1.53016,0.65367,0.00453,0.000962859,0.000962859,0.000962859
